TeamId,TeamName,SubmissionDate,Score
6718857,fxzero,"2021-05-09 03:53:06",0.11922
6501764,sxjscience,"2021-03-22 20:28:49",0.12063
6687547,wuwawa,"2021-05-09 03:16:47",0.12283
6654984,Leon,"2021-05-09 03:38:13",0.12283
6654756,jack,"2021-05-09 03:54:37",0.12455
6654741,totoro,"2021-05-09 03:59:56",0.12485
6492893,"automl (baseline)","2021-03-22 20:18:35",0.12502
6656187,pullpullyes,"2021-05-09 01:59:21",0.12518
6671238,Shaoqing,"2021-05-09 03:23:05",0.12559
6732796,haoxinkuhaoxiangku,"2021-05-09 03:57:12",0.12583
6666282,pppp,"2021-05-09 03:58:46",0.12588
6700410,TonightEatChicken,"2021-05-09 03:54:27",0.12632
6656446,dual,"2021-05-09 03:30:26",0.12667
6655253,"Yichao Han","2021-05-09 03:59:24",0.12693
6654750,huache,"2021-05-09 03:53:50",0.12757
6672489,"Chauncey Peng","2021-05-09 03:37:37",0.12843
6654785,"Xichao Wang","2021-05-09 03:18:19",0.12949
6680808,kkkaiqiang,"2021-04-29 02:47:22",0.13003
6660190,bx_grade,"2021-04-27 02:54:26",0.13074
6728978,"george wuhu","2021-05-09 03:55:02",0.13107
6664756,Sakura,"2021-04-27 09:31:32",0.13113
6748471,akira2333,"2021-05-08 21:42:09",0.13170
6687270,Kang,"2021-05-09 03:52:12",0.13492
6655132,Jimmy_Xu,"2021-05-07 15:17:23",0.13495
6757209,changzhen,"2021-05-09 03:59:14",0.13565
6681473,Tyan,"2021-05-06 05:38:28",0.13570
6665286,风吹木华,"2021-04-28 05:29:18",0.13863
6704948,"Emerson Morais","2021-04-28 01:20:01",0.13909
6658737,"SYSU_Mingzhe Guan","2021-04-28 04:52:38",0.13918
6686025,Nicholas,"2021-04-29 14:43:18",0.14060
6712314,hustfyb,"2021-05-07 14:58:05",0.14077
6706363,Cstor,"2021-05-08 12:37:55",0.14320
6685956,Basline,"2021-05-04 13:41:06",0.14415
6493713,yogi001,"2021-05-06 16:00:25",0.14435
6755730,markhe735,"2021-05-08 11:03:46",0.14435
6671188,Newton,"2021-04-25 06:24:41",0.14478
6661562,duhanx,"2021-04-30 16:00:15",0.14504
6682256,"FENG BEAR","2021-04-29 02:51:11",0.14624
6681783,idocx,"2021-04-24 12:38:06",0.15097
6654864,"Neko Kiku","2021-04-29 09:14:01",0.15129
6687183,FLming,"2021-05-08 07:48:13",0.15155
6665465,micewise,"2021-05-08 07:21:28",0.15169
6681651,xmnyuni,"2021-05-09 01:34:46",0.15423
6675507,陈岩波,"2021-04-30 03:08:58",0.15543
6656654,Tensor,"2021-05-09 00:47:03",0.15669
6682081,fujuhong,"2021-05-06 07:51:31",0.15814
6711903,collapse,"2021-05-08 05:20:49",0.15941
6658534,FairyTail0523,"2021-05-07 05:29:12",0.16211
6665305,为什么我的automl不大行,"2021-05-08 02:18:31",0.16284
6660211,迪迦奥特曼,"2021-04-30 02:41:32",0.16439
